"Scheme.Code","Scheme.Name","Net.Asset.Value","Repurchase.Price","Sale.Price","Date","MovGain"
100119,"HDFC Growth Fund - Growth Option",132.594,131.268,132.594,2016-01-01,-2.87099999999998
100119,"HDFC Growth Fund - Growth Option",129.723,128.426,129.723,2016-01-04,0.516999999999996
100119,"HDFC Growth Fund - Growth Option",130.24,128.938,130.24,2016-01-05,-0.338999999999999
100119,"HDFC Growth Fund - Growth Option",129.901,128.602,129.901,2016-01-06,-3.75300000000001
100119,"HDFC Growth Fund - Growth Option",126.148,124.887,126.148,2016-01-07,0.972999999999999
100119,"HDFC Growth Fund - Growth Option",127.121,125.85,127.121,2016-01-08,-0.506999999999991
100119,"HDFC Growth Fund - Growth Option",126.614,125.348,126.614,2016-01-11,-1.066
100119,"HDFC Growth Fund - Growth Option",125.548,124.293,125.548,2016-01-12,0.176999999999992
100119,"HDFC Growth Fund - Growth Option",125.725,124.468,125.725,2016-01-13,-0.843999999999994
100119,"HDFC Growth Fund - Growth Option",124.881,123.632,124.881,2016-01-14,-2.33199999999999
100119,"HDFC Growth Fund - Growth Option",122.549,121.324,122.549,2016-01-15,-2.53800000000001
100119,"HDFC Growth Fund - Growth Option",120.011,118.811,120.011,2016-01-18,1.42500000000001
100119,"HDFC Growth Fund - Growth Option",121.436,120.222,121.436,2016-01-19,-2.462
100119,"HDFC Growth Fund - Growth Option",118.974,117.784,118.974,2016-01-20,-0.390000000000001
100119,"HDFC Growth Fund - Growth Option",118.584,117.398,118.584,2016-01-21,2.428
100119,"HDFC Growth Fund - Growth Option",121.012,119.802,121.012,2016-01-22,0.301999999999992
100119,"HDFC Growth Fund - Growth Option",121.314,120.101,121.314,2016-01-25,0.451000000000008
100119,"HDFC Growth Fund - Growth Option",121.765,120.547,121.765,2016-01-27,-0.433999999999997
100119,"HDFC Growth Fund - Growth Option",121.331,120.118,121.331,2016-01-28,1.211
100119,"HDFC Growth Fund - Growth Option",122.542,121.317,122.542,2016-01-29,-0.724000000000004
100119,"HDFC Growth Fund - Growth Option",121.818,120.6,121.818,2016-02-01,-1.943
100119,"HDFC Growth Fund - Growth Option",119.875,118.676,119.875,2016-02-02,-2.80500000000001
100119,"HDFC Growth Fund - Growth Option",117.07,115.899,117.07,2016-02-03,0.266000000000005
100119,"HDFC Growth Fund - Growth Option",117.336,116.163,117.336,2016-02-04,1.26900000000001
100119,"HDFC Growth Fund - Growth Option",118.605,117.419,118.605,2016-02-05,-0.923000000000002
100119,"HDFC Growth Fund - Growth Option",117.682,116.505,117.682,2016-02-08,-1.666
100119,"HDFC Growth Fund - Growth Option",116.016,114.856,116.016,2016-02-09,-1.37700000000001
100119,"HDFC Growth Fund - Growth Option",114.639,113.493,114.639,2016-02-10,-4.232
100119,"HDFC Growth Fund - Growth Option",110.407,109.303,110.407,2016-02-11,-0.47699999999999
100119,"HDFC Growth Fund - Growth Option",109.93,108.831,109.93,2016-02-12,4.45099999999999
100119,"HDFC Growth Fund - Growth Option",114.381,113.237,114.381,2016-02-15,-2.36799999999999
100119,"HDFC Growth Fund - Growth Option",112.013,110.893,112.013,2016-02-16,1.16499999999999
100119,"HDFC Growth Fund - Growth Option",113.178,112.046,113.178,2016-02-17,0.722000000000008
100119,"HDFC Growth Fund - Growth Option",113.9,112.761,113.9,2016-02-18,0.122
100119,"HDFC Growth Fund - Growth Option",114.022,112.882,114.022,2016-02-19,0.174999999999997
100119,"HDFC Growth Fund - Growth Option",114.197,113.055,114.197,2016-02-22,-1.745
100119,"HDFC Growth Fund - Growth Option",112.452,111.327,112.452,2016-02-23,-0.950999999999993
100119,"HDFC Growth Fund - Growth Option",111.501,110.386,111.501,2016-02-24,-1.60300000000001
100119,"HDFC Growth Fund - Growth Option",109.898,108.799,109.898,2016-02-25,0.947000000000003
100119,"HDFC Growth Fund - Growth Option",110.845,109.737,110.845,2016-02-26,-0.617000000000004
100119,"HDFC Growth Fund - Growth Option",110.228,109.126,110.228,2016-02-29,3.49000000000001
100119,"HDFC Growth Fund - Growth Option",113.718,112.581,113.718,2016-03-01,2.79899999999999
100119,"HDFC Growth Fund - Growth Option",116.517,115.352,116.517,2016-03-02,1.721
100119,"HDFC Growth Fund - Growth Option",118.238,117.056,118.238,2016-03-03,0.850999999999999
100119,"HDFC Growth Fund - Growth Option",119.089,117.898,119.089,2016-03-04,-0.182000000000002
100119,"HDFC Growth Fund - Growth Option",118.907,117.718,118.907,2016-03-08,0.64200000000001
100119,"HDFC Growth Fund - Growth Option",119.549,118.354,119.549,2016-03-09,-0.743000000000009
100119,"HDFC Growth Fund - Growth Option",118.806,117.618,118.806,2016-03-10,0.162000000000006
100119,"HDFC Growth Fund - Growth Option",118.968,117.778,118.968,2016-03-11,0.875
100119,"HDFC Growth Fund - Growth Option",119.843,118.645,119.843,2016-03-14,-0.868000000000009
100119,"HDFC Growth Fund - Growth Option",118.975,117.785,118.975,2016-03-15,0.87700000000001
100119,"HDFC Growth Fund - Growth Option",119.852,118.653,119.852,2016-03-16,0.572000000000003
100119,"HDFC Growth Fund - Growth Option",120.424,119.22,120.424,2016-03-17,1.51799999999999
100119,"HDFC Growth Fund - Growth Option",121.942,120.723,121.942,2016-03-18,2.155
100119,"HDFC Growth Fund - Growth Option",124.097,122.856,124.097,2016-03-21,0.563000000000002
100119,"HDFC Growth Fund - Growth Option",124.66,123.413,124.66,2016-03-22,0.177000000000007
100119,"HDFC Growth Fund - Growth Option",124.837,123.589,124.837,2016-03-23,-2.486
100119,"HDFC Growth Fund - Growth Option",122.351,121.127,122.351,2016-03-28,0.170000000000002
100119,"HDFC Growth Fund - Growth Option",122.521,121.296,122.521,2016-03-29,2.773
